,platform,code,indicators
98,HOT-TM,13680,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
99,HOT-TM,14235,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
100,HOT-TM,14245,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
101,HOT-TM,14497,"1.5.1,11.5.1,13.1.1,1.4.1,11.1.1"
102,HOT-TM,14637,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
103,HOT-TM,14763,"1.5.1,11.5.1,13.1.1,11.5.2,11.5.3"
104,HOT-TM,14791,"1.4.1,3.8.1"
105,HOT-TM,14858,
106,HOT-TM,14977,
107,HOT-TM,14992,"11.5.1,1.5.1,11.5.2,11.5.3,13.1.1"
108,HOT-TM,15227,
109,HOT-TM,15384,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
110,Ushahidi,e43118a5-40f7-5144-85a1-67d8de68e58f,
111,Ushahidi,d9931e89-ebb5-54e1-894a-c8df56fbbc00,
112,Ushahidi,d8607444-3b12-5271-93f5-2d051bc0d1ce,
113,Ushahidi,cc76b2df-b25c-56e2-80f3-1c153310563d,11.2.1
114,Ushahidi,ca30ec8c-e7bf-5445-b43b-2c10cf3f750e,
115,Ushahidi,c9d863e4-5ca0-528f-a52b-4f59f6f0a69c,
116,Ushahidi,c45142c7-f55d-50e5-b340-27e0a92b6dcc,
117,Ushahidi,bdd53c16-436e-57f0-91b9-1038cff9ff57,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
118,Ushahidi,bcee7134-ec08-5e32-9598-375ba228bb72,11.7.1
119,Ushahidi,bbe9eb75-0f3d-5a44-b0a2-72476f5cce6d,
120,Ushahidi,bb5ccbb3-262b-5c5f-a01f-9f959e0576e8,
121,Ushahidi,b7fca347-e660-5aa9-abaf-e4fe2cbeeace,
122,Ushahidi,b54ab377-daa0-5289-b9e3-55e00349af31,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
123,HOT-TM,15438,11.1.1
124,HOT-TM,15468,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
125,HOT-TM,15493,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
126,HOT-TM,15523,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
127,HOT-TM,15527,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
128,HOT-TM,15647,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
129,HOT-TM,15745,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
130,HOT-TM,15797,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
131,HOT-TM,15818,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
132,HOT-TM,15837,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
133,HOT-TM,15843,"11.5.3,11.5.2"
134,HOT-TM,16178,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
135,HOT-TM,16298,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
136,HOT-TM,16507,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
137,HOT-TM,16593,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
138,HOT-TM,16692,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
139,HOT-TM,16697,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
140,HOT-TM,16723,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
141,HOT-TM,16784,"11.5.3,11.5.2,1.5.1,11.5.1,13.1.1"
142,HOT-TM,16914,
143,HOT-TM,17416,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
144,HOT-TM,17598,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
145,HOT-TM,17928,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
146,HOT-TM,17947,"11.5.2,11.5.3"
147,HOT-TM,17974,"11.5.2,11.5.3,1.5.1,11.5.1,13.1.1"
148,HOT-TM,18003,11.1.1
149,HOT-TM,18098,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
150,HOT-TM,18264,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
151,HOT-TM,18314,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,3.8.1,1.4.1"
152,HOT-TM,18363,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
153,HOT-TM,18510,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
154,HOT-TM,9036,
155,HOT-TM,9237,
156,HOT-TM,9840,
157,HOT-TM,10059,
158,HOT-TM,10337,
159,HOT-TM,10430,
160,HOT-TM,10521,
161,HOT-TM,10526,"1.5.1,11.5.1,13.1.1"
162,HOT-TM,10777,
163,HOT-TM,10796,
164,HOT-TM,10824,
165,HOT-TM,11092,
166,Ushahidi,b33ed5c1-9571-5881-8f2e-c280248354d0,"1.5.1,11.5.1,13.1.1"
167,Ushahidi,a51eb48e-43b0-5306-b4d7-5a704161b291,
168,Ushahidi,9b04d2b5-e21f-5c90-b008-c08e88eef5ea,
169,Ushahidi,9926584b-5830-595a-a90f-ec74c3eedf8b,
170,Ushahidi,98a1e11f-eb57-5ac7-8b15-11396f5133c4,
171,Ushahidi,973d999b-2408-5f56-bbc4-206f9b35dff1,
172,Ushahidi,94629279-45a1-5453-abe3-4d99ba540506,
173,Ushahidi,937731b3-f538-51c7-9aff-9f916421958c,
174,Ushahidi,92aff492-14e3-50b5-a02e-f7d59d5a1f1f,
175,Ushahidi,91573154-f3b6-56b9-8694-83d317b33e60,
176,Ushahidi,9111961e-bfc5-54af-87d7-4d3cb3232294,
177,Ushahidi,763d2b79-db75-525e-b4cd-d600acae5850,
178,HOT-TM,11224,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
179,HOT-TM,11378,11.6.1
180,HOT-TM,11533,"11.5.2,11.5.3"
181,HOT-TM,11583,"11.5.2,11.5.3"
182,HOT-TM,11596,11.1.1
183,HOT-TM,12001,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
184,HOT-TM,12045,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
185,HOT-TM,12171,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
186,HOT-TM,12385,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1,3.8.1"
187,HOT-TM,12597,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
188,HOT-TM,13218,
189,HOT-TM,13335,
190,HOT-TM,13399,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
191,HOT-TM,14014,
192,HOT-TM,14105,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
193,HOT-TM,14465,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
194,HOT-TM,14510,
195,HOT-TM,14583,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
196,HOT-TM,14785,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
197,HOT-TM,14833,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
198,HOT-TM,14865,
199,HOT-TM,14920,"1.5.1,11.5.1,13.1.1"
200,HOT-TM,14960,
201,HOT-TM,15235,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
202,HOT-TM,15414,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
203,HOT-TM,15729,
204,HOT-TM,15740,3.8.1
205,HOT-TM,15852,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
206,HOT-TM,15887,"1.5.1,11.5.1,11.5.2,11.5.3,13.1.1"
207,HOT-TM,15952,11.1.1
208,HOT-TM,16174,
209,HOT-TM,16664,
210,HOT-TM,16665,"11.5.2,11.5.3"
211,HOT-TM,16836,
212,HOT-TM,16867,"1.5.1,11.5.1,11.5.2,13.1.1,11.5.3"
213,HOT-TM,17033,"1.5.1,11.5.1,11.5.2,13.1.1,11.5.3"
214,HOT-TM,17269,"1.5.1,11.5.1,11.5.2,13.1.1,11.5.3"
215,HOT-TM,8772,
216,HOT-TM,8816,"1.5.1,11.5.1,13.1.1"
217,HOT-TM,8867,
218,HOT-TM,8884,
219,HOT-TM,8929,
220,HOT-TM,9121,
221,Ushahidi,658d9842-1f21-5bd0-ab1f-8700c0c846b1,"11.5.2,11.5.3"
222,Ushahidi,61dcead0-60cc-5a67-bfd6-cfd0d8b52a00,
223,Ushahidi,5cfc2e25-6a31-53ed-b498-9290bed97917,
224,Ushahidi,5a3167ee-c7cd-5e55-98b3-ad922308e41f,
225,Ushahidi,56273803-dbe9-575b-9bb8-65cbb04f0cb5,"11.6.2,3.9.1"
226,Ushahidi,4d7f72d6-c1ef-577c-bfc3-693c9079e1c4,
227,Ushahidi,49166e09-4b27-5197-81fb-c97b4eb45433,"1.4.1,3.8.1"
228,Ushahidi,48d27109-bf2a-534b-815b-f0e977044d21,
229,Ushahidi,4268f5ae-284a-5670-a92c-e1c62775f42f,
230,Ushahidi,3a814ccb-3488-5e56-a7c5-27e6d62d6e40,
